Scenario,Model,MSE,RMSE,MAE,R2,Used Features
Scenario 2 - Top 10 Selected Features (MI & RF Importance),Deep Learning,21.970464421396397,4.687266199118245,1.2145242838550814,0.9417573335794236,"[ 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),Gradient Boosting,22.426283137357807,4.735639675625438,1.3059805734835015,0.9405489796314688,"['muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),Decision Tree,26.295279613387365,5.127892316867366,0.9355883252727837,0.9302924521947377,"[ 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),SVM,29.120565512927055,5.396347423297267,1.3050067730527257,0.922802752339809,"['muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),AdaBoost,65.94278805229875,8.120516489257241,3.9487419326205964,0.8251887746336177,"['muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),Naive Bayes,326.4611510791367,18.068235970319204,10.871942446043166,0.13456686409130225,"[ 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 3 - Feature Set A,Gradient Boosting,48.027306735284995,6.930173643948973,3.8041905380419068,0.8726818718252602,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,Deep Learning Ensemble,48.4220211975557,6.958593334687385,3.7850155519924575,0.8716355023759634,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,Deep Learning,50.03069727886061,7.073238104210872,3.925669754409104,0.867370977849529,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,Random Forest,52.60184210694008,7.252712741239659,3.993554455007423,0.8605549940055559,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,SVM,54.55095926392256,7.385862120559966,3.618961352829574,0.855387976221526,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,Decision Tree,96.27605040967225,9.812035997165534,4.904271582733813,0.744776724754153,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,AdaBoost,96.74163376973289,9.835732497873908,6.170456590760926,0.7435424851945844,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 3 - Feature Set A,Naive Bayes,391.12607913669063,19.776907724330684,14.417086330935252,-0.036856814613406286,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm']"
Scenario 4 - Feature Set B,Gradient Boosting,30.489357823797015,5.521716927170118,2.5162007378959674,0.9191741483907997,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,Deep Learning,31.076685134136337,5.574646637602812,2.7170170994971294,0.9176171713529144,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,Deep Learning Ensemble,31.396488470915283,5.603256952069509,2.7088562537440293,0.9167693877691472,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,Random Forest,32.875753885639504,5.7337382121648615,2.505398261390887,0.9128479248248603,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,SVM,44.33218965391562,6.658242234547766,2.9351450707601847,0.8824774531760842,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,Decision Tree,55.63997427058353,7.459220754916933,3.060986211031175,0.852501048729079,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,AdaBoost,98.25368944175597,9.912299906770173,6.352404494050189,0.7395340968225473,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
Scenario 4 - Feature Set B,Naive Bayes,516.3079136690648,22.72240994412927,18.631654676258993,-0.36870796216968826,"['total_rutf', 'rutf_cured', 'adm_muac', 'adm_category', 'adm_cat_115', 'adm_cat_115_125', 'adm_kg', 'adm_waz06', 'adm_cm', 'missed_1_visit', 'missed_2_more_visit', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'transfer_inpatient', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'age_cat_1', 'age_cat_2']"
